cell,destination,ore,search,started,wall_s,rc,rows_out,evaluable,best_obj,winner,winner_name,spectral,vehicle,propellant,conc_ratio,power_source,programme_missions,fleet_ships,missions_per_ship,trips_per_ship,programme_span_yr,payload_kg,saturation,clearing,unsold_kg,market_model,p_mining,aerocapture_share,rtg_share,isru_share,prop_shares,vehicle_shares,calc_version,catalog_date,archive
cislunar__raw__search-off,cislunar,raw,off,2026-09-09 00:45:42,946.9,0,650921,650921,15.3937,2018 DT,2018 DT,M,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),1.0,solar,1.0,1.0,1.0,3.0,6.873,141375.0,1.0,1.0,0.0,capacity_cap,0.85,0.0,5.4876,8.166,Xenon  (Hall / ion)=43.93%; Iodine  (Hall / gridded)=23.97%; Water  (gridded ion / ECR)=15.53%; hydrolox  (LH2 / LOX)=8.17%; Krypton  (Hall)=8.01%; methalox  (LCH4 / LOX)=0.18%,Falcon Heavy (reusable side cores)=65.47%; SLS Block 1B (Cargo)=32.62%; New Glenn=1.62%; Vulcan Centaur VC6=0.13%; H3 (24L)=0.06%; Long March 7=0.05%,1.21.2,2026-09-09,campaign\cells\cislunar__raw__search-off.csv.gz
cislunar__raw__search-on,cislunar,raw,on,2026-09-09 01:03:28,2888.1,0,650921,650921,9.5435,2014 WE121,2014 WE121,M,New Glenn,Iodine  (Hall / gridded),1.0,solar,10.0,2.0,5.0,5.0,14.672,74321.06,1.0,0.9137,12633.63,capacity_cap,0.9024,0.0,8.3807,5.9361,Xenon  (Hall / ion)=40.18%; Iodine  (Hall / gridded)=26.21%; Water  (gridded ion / ECR)=17.78%; Krypton  (Hall)=9.30%; hydrolox  (LH2 / LOX)=5.94%; Argon  (Hall / ion)=0.24%,Falcon Heavy (reusable side cores)=58.09%; SLS Block 1B (Cargo)=25.67%; New Glenn=15.77%; Vulcan Centaur VC6=0.27%; H3 (24L)=0.09%; Long March 5=0.05%,1.21.2,2026-09-09,campaign\cells\cislunar__raw__search-on.csv.gz
cislunar__benef__search-off,cislunar,benef,off,2026-09-09 01:52:45,4967.3,0,660253,660253,14.1071,2014 WE121,2014 WE121,M,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),2.2222,solar,1.0,1.0,1.0,3.0,7.0711,94910.62,1.0,1.0,0.0,capacity_cap,0.85,0.0,10.6518,10.3115,Xenon  (Hall / ion)=60.61%; Iodine  (Hall / gridded)=15.90%; Water  (gridded ion / ECR)=12.55%; hydrolox  (LH2 / LOX)=10.31%; Krypton  (Hall)=0.42%; methalox  (LCH4 / LOX)=0.18%,Falcon Heavy (reusable side cores)=66.39%; SLS Block 1B (Cargo)=30.92%; New Glenn=2.41%; H3 (24L)=0.08%; Vulcan Centaur VC6=0.06%; Long March 7=0.06%,1.21.2,2026-09-09,campaign\cells\cislunar__benef__search-off.csv.gz
cislunar__benef__search-on,cislunar,benef,on,2026-09-09 03:16:46,8011.7,1073807364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cislunar__benef__search-on,cislunar,benef,on,2026-09-11 01:01:07,9877.9,0,660253,660253,6.6622,2021 CX5,2021 CX5,D,New Glenn,Argon  (Hall / ion),3.9249,solar,35.0,7.0,5.0,5.0,17.1187,34572.55,1.0,0.9999,0.0,capacity_cap,0.9294,0.0,16.2698,9.646,Xenon  (Hall / ion)=38.99%; Iodine  (Hall / gridded)=36.24%; Water  (gridded ion / ECR)=13.94%; hydrolox  (LH2 / LOX)=9.65%; Krypton  (Hall)=0.50%; methalox  (LCH4 / LOX)=0.38%,Falcon Heavy (reusable side cores)=40.02%; New Glenn=32.53%; SLS Block 1B (Cargo)=24.75%; Vulcan Centaur VC6=1.72%; H3 (24L)=0.49%; Long March 5=0.38%,1.21.2,2026-09-11,campaign\cells\cislunar__benef__search-on.csv.gz
lunar_surface__raw__search-off,lunar_surface,raw,off,2026-09-11 03:47:04,633.0,0,586054,586054,33.9418,2018 DT,2018 DT,M,Falcon Heavy (reusable side cores),Xenon  (Hall / ion),1.0,solar,1.0,1.0,1.0,4.0,6.3109,100310.73,1.0,0.9985,1820.69,capacity_cap,0.85,0.0,3.9699,3.866,Xenon  (Hall / ion)=42.89%; Krypton  (Hall)=22.59%; Water  (gridded ion / ECR)=20.57%; Iodine  (Hall / gridded)=9.73%; hydrolox  (LH2 / LOX)=3.87%; Hydrazine arcjet=0.16%,Falcon Heavy (reusable side cores)=67.57%; SLS Block 1B (Cargo)=31.45%; New Glenn=0.57%; Vulcan Centaur VC6=0.19%; H3 (24L)=0.07%; Long March 7=0.06%,1.21.2,2026-09-11,campaign\cells\lunar_surface__raw__search-off.csv.gz
lunar_surface__raw__search-on,lunar_surface,raw,on,2026-09-11 03:58:41,1160.1,0,586054,586054,21.1384,2014 WE121,2014 WE121,M,New Glenn,Iodine  (Hall / gridded),1.0,solar,10.0,2.0,5.0,5.0,14.2692,37499.65,1.0,0.985,6785.07,capacity_cap,0.9024,0.0,5.5481,3.5879,Xenon  (Hall / ion)=37.64%; Krypton  (Hall)=26.31%; Water  (gridded ion / ECR)=20.86%; Iodine  (Hall / gridded)=11.16%; hydrolox  (LH2 / LOX)=3.59%; Argon  (Hall / ion)=0.21%,Falcon Heavy (reusable side cores)=71.65%; SLS Block 1B (Cargo)=26.02%; New Glenn=1.93%; Vulcan Centaur VC6=0.19%; H3 (24L)=0.08%; Long March 5=0.04%,1.21.2,2026-09-11,campaign\cells\lunar_surface__raw__search-on.csv.gz
lunar_surface__benef__search-off,lunar_surface,benef,off,2026-09-11 04:19:10,3021.0,0,606304,606304,21.5387,2018 DT,2018 DT,M,Falcon Heavy (reusable side cores),Iodine  (Hall / gridded),2.2222,solar,1.0,1.0,1.0,3.0,7.0451,69276.66,1.0,1.0,0.0,capacity_cap,0.85,0.0,9.5528,2.0767,Xenon  (Hall / ion)=52.30%; Iodine  (Hall / gridded)=22.57%; Water  (gridded ion / ECR)=19.48%; Krypton  (Hall)=3.28%; hydrolox  (LH2 / LOX)=2.08%; methalox  (LCH4 / LOX)=0.19%,Falcon Heavy (reusable side cores)=51.97%; SLS Block 1B (Cargo)=38.07%; New Glenn=7.70%; Vulcan Centaur VC6=0.86%; Long March 5=0.39%; Ariane 6 (A64)=0.24%,1.21.2,2026-09-11,campaign\cells\lunar_surface__benef__search-off.csv.gz
lunar_surface__benef__search-on,lunar_surface,benef,on,2026-09-11 05:10:40,7253.4,0,606304,606304,11.5920,2021 CX5,2021 CX5,D,New Glenn,Iodine  (Hall / gridded),3.9249,solar,15.0,3.0,5.0,5.0,16.4897,32006.12,1.0,1.0,0.0,capacity_cap,0.9117,0.0,13.3177,2.2253,Xenon  (Hall / ion)=34.05%; Iodine  (Hall / gridded)=33.23%; Water  (gridded ion / ECR)=19.80%; Krypton  (Hall)=10.31%; hydrolox  (LH2 / LOX)=2.23%; methalox  (LCH4 / LOX)=0.19%,Falcon Heavy (reusable side cores)=52.71%; SLS Block 1B (Cargo)=24.10%; New Glenn=17.01%; Vulcan Centaur VC6=2.80%; Long March 5=1.58%; H3 (24L)=0.80%,1.21.2,2026-09-11,campaign\cells\lunar_surface__benef__search-on.csv.gz
geo__raw__search-off,geo,raw,off,2026-09-11 07:12:46,1220.9,0,705030,705030,45.6819,2016 GS2,2016 GS2,D,New Glenn,Xenon  (Hall / ion),1.0,solar,1.0,1.0,1.0,5.0,5.2656,61835.16,1.0,0.9807,8019.32,capacity_cap,0.85,90.7005,7.2397,3.176,Xenon  (Hall / ion)=72.88%; Iodine  (Hall / gridded)=14.90%; Water  (gridded ion / ECR)=6.67%; hydrolox  (LH2 / LOX)=3.18%; Krypton  (Hall)=1.70%; methalox  (LCH4 / LOX)=0.45%,Falcon Heavy (reusable side cores)=78.80%; SLS Block 1B (Cargo)=18.02%; New Glenn=2.96%; Vulcan Centaur VC6=0.07%; H3 (24L)=0.06%; Long March 5=0.04%,1.21.2,2026-09-11,campaign\cells\geo__raw__search-off.csv.gz
